TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
168.77,2.6,1689.044795036316,1.32773,9.14238,11.394760789,3.77246,0.343399,2.22236,147,23.9379,21.09625,9.2154,2048,11.372631788253784,37.18
165.29,2.43,1700.6177275180817,1.29639,6.82119,15.9756137891,3.65609,0.348507,2.32971,148,26.4901,20.66125,6.88907,2048,11.565893411636353,51.48
138.17,11.71,1712.6142196655273,1.3307,6.66974,4.33112409629,3.78369,0.262717,1.61771,149,15.4405,17.27125,6.7131,2048,11.989245653152466,22.18
153.99,6.78,1723.8514325618744,1.3084,4.53366,9.66983381127,3.70024,0.229979,1.2363,150,16.1655,19.24875,4.57249,2048,11.230010509490967,31.25
128.18,3.23,1735.6651232242584,1.31631,5.7552,8.35749177385,3.72964,0.355184,1.8904,151,13.3413,16.0225,5.81279,2048,11.806246995925903,26.86
138.35,4.92,1747.959462404251,1.32572,5.35135,6.33440789952,3.76491,0.316592,1.81433,152,10.7635,17.29375,5.39395,2048,12.286715984344482,26.32
127.27,6.66,1759.3598153591156,1.32149,4.42031,7.17240447392,3.74901,0.282799,1.79063,153,9.84045,15.90875,4.47112,2048,11.392777442932129,28.59
126.58,2.26,1770.6495835781097,1.30981,4.2117,9.08024056675,3.70547,0.325445,1.8743,154,10.7716,15.8225,4.25525,2048,11.2823805809021,26.98
196.5,7.49,1782.2534775733948,1.32822,10.0925,8.9215620129,3.77432,0.319115,1.59259,155,29.1513,24.5625,10.1943,2048,11.596789598464966,37.28
121.11,3.28,1793.0404260158539,1.3197,4.9271,6.89512769552,3.74231,0.279747,1.49544,156,9.17286,15.13875,4.95308,2048,10.779831647872925,22.72
163.18,10.78,1803.7815873622894,1.33234,5.35612,11.2193468504,3.78991,0.381251,2.51611,157,16.0261,20.3975,5.48258,2048,10.733837366104126,36.91
169.0,12.68,1815.110963344574,1.32192,7.54281,5.4605906274,3.75062,0.293045,2.27096,158,20.6035,21.125,7.5908,2048,11.32235598564148,27.73
